 format: day,hour,forecast,value location:92_132 Start : 20250709 
 10,1030,+3,-999.900024 
 10,1030,+4,-999.900024 
 10,1030,+5,-999.900024 
 10,1030,+6,-999.900024 
 10,1130,+1,-999.900024 
 10,1130,+2,-999.900024 
 10,1130,+3,-999.900024 
 10,1130,+4,-999.900024 
 10,1130,+5,-999.900024 
 10,1130,+6,-999.900024 
 10,1230,+1,-999.900024 
 10,1230,+2,-999.900024 
 10,1230,+3,-999.900024 
 10,1230,+4,-999.900024 
 10,1230,+5,-999.900024 
 10,1230,+6,-999.900024 
 10,1330,+1,-999.900024 
 10,1330,+2,-999.900024 
 10,1330,+3,-999.900024 
 10,1330,+4,-999.900024 
 10,1330,+5,-999.900024 
 10,1330,+6,-999.900024 
 10,1430,+1,-999.900024 
 10,1430,+2,-999.900024 
 10,1430,+3,-999.900024 
 10,1430,+4,-999.900024 
 10,1430,+5,-999.900024 
 10,1430,+6,-999.900024 
 10,1530,+1,-999.900024 
 10,1530,+2,-999.900024 
 10,1530,+3,-999.900024 
 10,1530,+4,-999.900024 
 10,1530,+5,-999.900024 
 10,1530,+6,-999.900024 
 10,1630,+1,-999.900024 
 10,1630,+2,-999.900024 
 10,1630,+3,-999.900024 
 10,1630,+4,-999.900024 
 10,1630,+5,-999.900024 
 10,1630,+6,-999.900024 
 10,1730,+1,-999.900024 
 10,1730,+2,-999.900024 
 10,1730,+3,-999.900024 
 10,1730,+4,-999.900024 
 10,1730,+5,-999.900024 
 10,1730,+6,-999.900024 
 10,1830,+1,-999.900024 
 10,1830,+2,-999.900024 
 10,1830,+3,-999.900024 
 10,1830,+4,-999.900024 
 10,1830,+5,-999.900024 
 10,1830,+6,-999.900024 
 10,1930,+1,-999.900024 
 10,1930,+2,-999.900024 
 10,1930,+3,-999.900024 
 10,1930,+4,-999.900024 
 10,1930,+5,-999.900024 
 10,1930,+6,-999.900024 
 10,2030,+1,-999.900024 
 10,2030,+2,-999.900024 
 10,2030,+3,-999.900024 
 10,2030,+4,-999.900024 
 10,2030,+5,-999.900024 
 10,2030,+6,-999.900024 
 10,2130,+1,-999.900024 
 10,2130,+2,-999.900024 
 10,2130,+3,-999.900024 
 10,2130,+4,-999.900024 
 10,2130,+5,-999.900024 
 10,2130,+6,-999.900024 
 10,2230,+1,-999.900024 
 10,2230,+2,-999.900024 
 10,2230,+3,-999.900024 
 10,2230,+4,-999.900024 
 10,2230,+5,-999.900024 
 10,2230,+6,-999.900024 
 10,2330,+1,-999.900024 
 10,2330,+2,-999.900024 
 10,2330,+3,-999.900024 
 10,2330,+4,-999.900024 
 10,2330,+5,-999.900024 
 10,2330,+6,-999.900024 
 
